index,text,paraphrased_text
1,You should stop this right away Tia sorry TA but ,['You should stop this immediately.']
2,I was really sad I don't have one but my ,"[""I am sad I don't have one.""]"
3,friends do I just feel left out it's okay tofu ,['I feel left out.']
4,I can understand that you are sad but wishing bad ,['I can understand that you are sad.']
5,for others is not good we should always think good ,['We should always think good for others.']
6,for others come I'll tell you a story about a ,['I will tell a story for others.']
7,fox who became a laughingstock amongst his friends just because ,['The fox became a laughingstock for his friends.']
8,he was very selfish the fox without a tail one ,['The fox without a tail was very selfish.']
9,day a fox was walking in a forest suddenly he ,['A fox is walking in a forest.']
10,heard a huge snap and in and immediate reaction he ,['He heard a huge snap and immediately reacted.']
11,jumped something awful happened to the poor little thing he ,['Something terrible happened to the little thing that he jumped.']
12,found his tail stuck in a trap and this gave ,['His tail was stuck in a trap.']
13,a sharp pain in his rear ohh that's not so ,['That is not a sharp pain in his rear.']
14,much Oh my name is stuck in a trap what ,['My name is stuck in a trap.']
15,would I do now after battling for long with his ,['I have been battling with him for a long time.']
16,daily and the trap he gave final try to it ,['He tried the trap daily.']
17,and with that game another snapping voice tears coming out ,['There were tears coming out with that game.']
18,of his eyes the fox moon Oh my tell my ,"['Oh my gosh, the fox moon.']"
19,team I lost my car I beautiful day what would ,['What would happen if I lost my car?']
20,I do now I'll become laughingstock of my scalp now ,['I will become a laughingstock of my head now.']
21,this is soon Bara Singh and he walked deeper into ,['He walked deeper into this.']
22,the forest with his head bowed down in sorrow when ,['The forest with his head bowed down.']
23,suddenly an idea struck his mind he decided to call ,['He decided to call after seeing an idea.']
24,a meeting of all his friends friends I have gathered ,['A meeting of his friends.']
25,you for a reason today while walking through the forest ,['You have a reason to walk through the forest today.']
26,I kept wondering we have eyes nose ears teeth legs ,['I wondered if we have eyes nose ears and legs.']
27,all for some reason but why why do we need ,"['For some reason, why do we need it.']"
28,detail its a useless thing and keeps bothering us for ,"[""It's a useless thing and keeps bothering us.""]"
29,some reason or the other it either gets in wear ,['Either it gets in wear or it is some reason.']
30,for sitting or when kept outside is left for someone ,['It is left for someone when sitting or being kept outside.']
31,to trip over so after dipak I cut off my ,['I cut off my hair after dipak.']
32,tail and want you to do the same it feels ,['It feels like you want to do the same thing.']
33,a great without that useless thing the scope of fox ,['The scope of the fox is useless.']
34,kept looking at the fox in amazement as to what ,['I kept looking at the fox in amazement.']
35,he was saying it's true but nobody has really thought ,"[""Nobody has really thought that it's true.""]"
36,about them without the Dell its surely would be painful ,"['Without the Dell, it would be very painful.']"
37,to do that meanwhile a young age child fox jumped ,['A young child jumped a fox.']
38,onto the higher place and addressed this kalak are you ,['Are you going onto the higher place?']
39,saying this because you no longer have a beautiful fairy ,"[""You don't have a beautiful fairy anymore.""]"
40,tale here you are just talking about yourself interest so ,"[""You're just talking about yourself interest.""]"
41,that you don't get embarrassed and feel left out of ,"[""You don't feel left out if you don't get embarrassed.""]"
42,the skull and the rest of the skull went off ,['The rest of the skull was removed.']
43,laughing away and discussing as to how selfish and nil ,['There was a discussion as to how selfish and nil it was.']
44,the fox is in order to not feel embarrassed he ,"[""The fox doesn't want to feel embarrassed.""]"
45,wants everyone to chop off their tail Jia now I ,['I want everyone to chop off their tails.']
46,understood I shouldn't be selfish and not think bad for ,"[""I don't think bad for being selfish and not being selfish.""]"
47,others come I buy you an ice cream tofu Tofu ,['I buy you ice cream Tofu.']
48,what's in the world are you trying to do I ,['Are you trying to do anything?']
49,am trying to prop those juicy fruits from this tree ,"[""I'm trying to get the juicy fruits from the tree.""]"
50,but do you think you will be able to block ,['Do you think you will be able to block?']
51,them they are so high how I wish I could ,['I wish I could.']
52,fly I'm pluck those foods I so wish I had ,['I wish I had those foods.']
53,wings to wish it's not bad but one should be ,['One should be wings to wish it was not bad.']
54,conscious about the consequences come I'll tell you a story ,['I will tell a story about the consequences.']
55,the tortoise and the eagle a young totis what's lazing ,['The tortoise and eagle are together.']
56,around the riverbank looking at the birds flying in the ,['Birds are flying around the riverbank.']
57,sky I stay determined started thinking out aloud I wish ,['I wish the sky was different.']
58,I could fly like those birds up high in the ,['I could fly high in the air.']
59,sky I watched the beautiful sceneries and beauty of the ,['The sky was beautiful.']
60,world from top of the world 0I so wish that ,['I wish that the world is from the top.']
61,nearby an eagle was sitting on a stone listening to ,['An eagle is sitting on a stone.']
62,what the tortoise was thinking out loud and couldn't resist ,"[""The tortoise couldn't resist what he was thinking.""]"
63,but ask why do you want to fly you should ,['Why do you want to fly?']
64,be happy with what you were gifted with I wish ,['I wish you were happy with what you received.']
65,I could fly with no trouble of crawling on the ,['I was able to fly with no problem.']
66,ground so say that you want to fly because you ,['Say that you want to fly because you are.']
67,don't want to crawl not because you wish to see ,"[""Don't crawl because you want to see it.""]"
68,the world from the sky anyway what will I get ,['What will I get from the sky?']
69,in return for making you fly in the sky alchi ,['For making you fly in the sky.']
70,feel the riches of gold from the Red Sea so ,['The gold is found in the Red Sea.']
71,the eagle grab the torches in its close and sold ,['The eagle sold the torches.']
72,up high in the sky making him sealed the beautiful ,['He was up high in the sky.']
73,sceneries of the world flying higher in the clouds and ,['The world is in the clouds.']
74,closer to the stars it was indeed a mesmerising moment ,['It was a wonderful moment closer to the stars.']
75,for the torches wow the eagle was flying over the ,['The eagle was flying over the torches.']
76,riverbank the rest of the tortoise were basking in the ,['The rest of the tortoise were outdoors.']
77,sun suddenly the torches flying high up in the sky ,['The torches are flying high in the sky.']
78,said I wish my friends could watch me flying so ,['I would like my friends to watch me fly.']
79,high in the sky I am sure they would get ,['They would get high in the sky.']
80,jealous watching me what why would you want your friends ,['Why would you want your friends?']
81,to get jealous of you I want them to see ,['I want them to see that you are jealous.']
82,that I can fly and they cannot it's such a ,"[""I can fly and they can't.""]"
83,nice feeling what's an evil friend this tortoises so the ,"[""It's nice to know that this tortoise is an evil friend.""]"
84,eagle with this the eagle drops him on the ground ,['The eagle dropped him on the ground.']
85,and asked for his treasure now give me my remote ,"['Give me my remote, I asked for his treasure.']"
86,there is no reward I was just kidding about the ,['I was just kidding and there is no reward.']
87,gold so that you could take me for a ride ,['You could take me for a ride.']
88,and with this the tortoise left the eagle couldn't tolerate ,"[""The eagle couldn't tolerate the tortoise leaving.""]"
